"ORDEN","P2_C","P3_C","P4_C","P5_C","P6_C","P7_C","P8_C","P9_C","P10_C","F_EXP"
"00004","01","04","01","01001","01","2",NA,"1",0,42.9806100019172
"00005","01","04","01","11001","01","2",NA,"1",0,18.0574728832478
"00008","01","04","01","01001","01","2",NA,"1",0,19.0875929973321
"00013","01","04","01","25269","01","2",NA,"1",0,4.6437121984235
"00014","01","01","01","11001","01","3",NA,"2",50000,3.09038319042426
"00017","01","01","01","25754","01","3",NA,"2",20000,6.70519706859354
"00017","02","04","01","25099","04","2",NA,"1",0,6.70519706859354
"00019","01","02","01","25269","01","3",NA,"2",50000,7.28391189070374
"00024","01","01","01","25473","03","3",NA,"1",0,5.80733501524277
"00027","01","02","01","11001","01","3",NA,"2",60000,39.5729541039834
"00027","02","02","01","11001","03","3",NA,"2",60000,39.5729541039834
"00029","01","01","01","11001","01","3",NA,"1",0,55.813694827711
"00030","01","04","01","01001","01","2",NA,"1",0,119.366665893917
"00032","01","02","01","11001","01","3",NA,"1",0,19.8562146383013
"00037","01","04","01","01001","01","2",NA,"1",0,3.03011240943888
"00041","01","02","01","11001","01","3",NA,"1",0,19.8562146383013
"00047","01","05","03","25899","02","3",NA,"2",0,36.5755697820866
"00049","01","06","01","25899","01","8",NA,"2",45000,5.97225884345464
"00063","01","04","01","25175","53","2",NA,"1",0,1.60501960761856
"00067","01","02","01","25473","01","3",NA,"1",0,8.39247248048034
"00070","01","04","01","11001","01","2",NA,"1",0,6.87995244460649
"00077","01","02","01","25175","01","3",NA,"1",0,18.9228531724495
"00081","01","02","01","68001","01","3",NA,"1",0,104.191905597611
"00082","01","01","01","25175","01","3",NA,"1",0,51.9686304184646
"00083","01","01","01","11001","01","3",NA,"1",0,14.3716453471832
"00086","01","04","01","25307","01","2",NA,"1",0,22.2569809111272
"00088","01","01","01","11001","01","3",NA,"3",60000,43.7528603653873
"00089","01","01","01","11001","01","3",NA,"1",0,12.4199547922188
"00089","02","02","01","25214","01","1","77","1",0,12.4199547922188
"00091","01","04","01","11001","03","2",NA,"1",0,14.3716453471832
"00099","01","01","01","25175","01","3",NA,"1",0,25.2697060807992
"00104","01","01","03","11001","01","3",NA,"1",0,7.45339909871594
"00106","01","01","01","11001","02","3",NA,"3",NA,10.8944199115029
"00106","02","04","01","11001","03","2",NA,"3",0,10.8944199115029
"00107","01","01","01","11001","01","3",NA,"1",0,20.9182662670265
"00107","02","01","01","11001","01","3",NA,"1",0,20.9182662670265
"00107","03","01","01","11001","01","3",NA,"1",0,20.9182662670265
"00122","01","01","01","11001","01","3",NA,"1",0,10.9323423701713
"00126","01","02","01","25473","01","3",NA,"2",50000,155.093174540788
"00129","01","05","03","11001","50","3",NA,"2",90000,375.473786718696
"00141","01","01","01","25754","01","3",NA,"1",0,128.943978607804
"00141","02","01","03","11001","01","3",NA,"1",0,128.943978607804
"00141","03","04","01","01001","01","2",NA,"1",0,128.943978607804
"00141","04","04","01","01001","01","2",NA,"1",0,128.943978607804
"00147","01","03","02","25754","01","3",NA,"3",50000,393.420839548136
"00149","01","01","02","11001","01","3",NA,"1",0,63.1452424109843
"00149","02","04","01","11001","01","2",NA,"1",0,63.1452424109843
"00156","01","02","01","41615","01","2",NA,"1",0,63.7336959365071
"00161","01","04","01","01001","77","2",NA,"1",0,110.113579447176
"00168","01","01","01","11001","01","3",NA,"1",0,263.102686221909
"00173","01","01","01","25754","01","3",NA,"3",80000,168.2009560175
"00176","01","01","01","11001","01","3",NA,"2",80000,198.623917229806
"00178","01","01","01","25754","01","3",NA,"1",0,177.231294337207
"00178","02","04","01","11001","03","2",NA,"1",0,177.231294337207
"00183","01","01","01","25214","01","3",NA,"3",50000,466.857540654958
"00194","01","02","01","25754","01","3",NA,"2",0,224.439784641233
"00198","01","04","01","11001","01","2",NA,"3",50000,159.049144268501
"00207","01","04","01","25754","03","2",NA,"1",0,87.8077914608153
"00209","01","04","01","25754","01","2",NA,"1",0,435.915575976138
"00215","01","04","01","01001","01","2",NA,"1",0,784.239252083611
"00216","01","01","01","11001","01","3",NA,"3",24000,191.278409673422
"00217","01","01","01","11001","01","3",NA,"1",0,87
"00217","02","01","01","11001","01","3",NA,"1",0,87
"00222","01","02","01","11001","01","3",NA,"1",0,114.715660191086
"00244","01","04","01","11001","03","2",NA,"1",0,116.993600628229
"00244","02","04","01","11001","04","2",NA,"1",0,116.993600628229
"00248","01","01","01","15176","01","3",NA,"1",0,179.988017967998
"00252","01","01","01","11001","01","1","03","2",60000,174.016436180535
"00253","01","04","01","11001","01","2",NA,"1",0,140.715760968651
"00254","01","01","01","11001","01","3",NA,"1",0,148.556730049254
"00254","02","02","01","25473","01","3",NA,"1",0,148.556730049254
"00259","01","04","01","11001","01","2",NA,"2",25000,116.426323152303
"00263","01","01","02","11001","01","1","01","2",80000,106.203060332649
"00263","02","03","02","11001","01","1","01","2",80000,106.203060332649
"00270","01","04","01","25875","02","2",NA,"2",15000,183.721620952949
"00273","01","01","01","11001","02","3",NA,"1",0,191.527035147942
"00273","02","02","01","11001","01","3",NA,"1",0,191.527035147942
"00274","01","01","01","11001","01","3",NA,"1",0,560.289937737313
"00274","02","04","01","11001","01","2",NA,"1",0,560.289937737313
"00276","01","02","01","11001","01","3",NA,"1",0,138.845479870881
"00277","01","04","01","25754","02","2",NA,"2",15000,151.38169821072
"00284","01","06","01","25754","01","3",NA,"2",120000,695.784752116108
"00285","01","04","01","17380","03","2",NA,"1",0,113.018569673939
"00286","01","02","03","11001","01","3",NA,"3",1e+05,99.3875513897068
"00287","01","01","01","25175","01","3",NA,"1",0,113.018569673939
"00297","01","01","01","11001","02","3",NA,"2",80000,120.311254090368
"00297","02","02","01","11001","03","3",NA,"2",80000,120.311254090368
"00299","01","02","01","25175","02","3",NA,"1",0,401.277376164929
"00304","01","01","01","11001","01","3",NA,"2",80000,314.319051219709
"00316","01","01","01","11001","01","3",NA,"3",0,126.846056646691
"00321","01","01","01","11001","03","3",NA,"2",70000,128.008744087793
"00338","01","04","01","11001","04","2",NA,"1",0,342.593228513831
"00343","01","05","01","11001","53","3",NA,"1",0,368.476968230116
"00344","01","04","01","11001","01","2",NA,"1",0,146.60476331662
"00347","01","06","02","25754","01","8",NA,"4",0,191.966722347118
"00349","01","01","01","11001","02","3",NA,"2",50000,138.382709342903
"00352","01","01","01","11001","02","3",NA,"1",0,329.68733828114
"00364","01","04","01","41132","01","2",NA,"1",0,361.797322250766
"00364","02","04","01","11001","02","2",NA,"1",0,361.797322250766
"00367","01","01","01","11001","01","3",NA,"2",25000,307.100445906167
"00367","02","04","01","11001","03","2",NA,"2",25000,307.100445906167
"00372","01","01","01","11001","02","3",NA,"1",0,60.6697778851199
"00372","02","04","01","11001","04","2",NA,"1",0,60.6697778851199
"00375","01","04","01","25286","03","2",NA,"1",0,179.17618928486
"00403","01","01","01","17001","01","3",NA,"1",0,155.32260031211
"00406","01","01","01","11001","01","3",NA,"3",60000,93.049593289006
