"modo_etapa","count","percentage"
"A pie (Viajes totalmente a pie)",37324,33.6613125783498
"Alimentador",4149,3.74184937004536
"Auto/moto alquilado(a)",192,0.173158611484384
"Auto/moto compartido(a)",557,0.502340346858344
"Auto/moto eléctrico(a)",30,0.027056033044435
"Bicicleta con motor como conductor",370,0.333691074214699
"Bicicleta con motor como pasajero",24,0.021644826435548
"Bicicleta convencional como conductor",5811,5.24075360070706
"Bicicleta convencional como pasajero",90,0.0811680991333051
"Bicitaxi",376,0.339102280823586
"Bus Dual",773,0.697143784778276
"Bus privado/de empresa",1409,1.2707316853203
"Bus/Buseta/Microbús intermunicipal",4931,4.44710996473697
"Bus/automóvil/Van informal o pirata",1169,1.05428342096482
"Camión/Volqueta /Tractomula",194,0.17496234702068
"Motocarro de pasajeros/ carga",43,0.0387803140303569
"Motocicleta como conductor",5777,5.21009009659004
"Motocicleta como pasajero",687,0.619583156717562
"Mototaxi",80,0.0721494214518267
"Otro",66,0.0595232726977571
"Patineta/Scooter",92,0.0829718346696007
"SITP – Urbano/ Complementario/Especial /Provisional",14546,13.1185685554784
"Sistema de Bicicletas de Bogotá (Bicicleta pública)",33,0.0297616363488785
"Taxi colectivo",149,0.134378297454027
"Taxi convencional",2403,2.16718824685925
"Taxi solicitado por app",968,0.873007999567104
"TransMicable",462,0.416662908884299
"TransMilenio",13076,11.7928229363011
"Transporte escolar",2113,1.90564659409637
"Transporte individual solicitado por app móvil (placa blanca/placa amarilla)",752,0.678204561647171
"Tren",4,0.00360747107259134
"Vehículo de tracción animal",5,0.00450933884073917
"Vehículo de tracción humana/animal",8,0.00721494214518267
"Vehículo privado como conductor",8369,7.54773135162922
"Vehículo privado como pasajero",3849,3.47128903960101
